instrument,quantity,signal,entry_price,exit_price,stop_loss,target_price,pnl_points,pnl_amount,result,entry_time,exit_time
NIFTY,65,BUY,10466.05,10441.9,10386.613003525494,10585.205494711758,-24.149999999999636,-1569.7499999999764,TIME EXIT,2020-03-09 14:45:00,2020-03-09 15:10:00
NIFTY,65,BUY,10437.45,10535.940990000003,10371.78934,10535.940990000003,98.49099000000206,6401.914350000134,WIN,2020-03-11 11:40:00,2020-03-11 13:05:00
NIFTY,65,BUY,10512.0,10484.78816,10484.78816,10552.81776,-27.21183999999994,-1768.769599999996,LOSS,2020-03-11 13:15:00,2020-03-11 13:50:00
NIFTY,65,BUY,9813.35,9743.3,9743.3,9918.425000000003,-70.05000000000109,-4553.250000000071,LOSS,2020-03-12 13:40:00,2020-03-12 14:05:00
NIFTY,65,BUY,9630.9,10026.8,8681.612058367999,11054.831912448,395.89999999999964,25733.499999999978,MACD EXIT,2020-03-13 10:50:00,2020-03-13 13:45:00
NIFTY,65,BUY,9339.5,9270.45,9042.387881600001,9785.168177599997,-69.04999999999927,-4488.249999999953,EMA EXIT,2020-03-17 09:55:00,2020-03-17 11:10:00
NIFTY,65,BUY,9310.95,9257.196,9257.196,9391.581000000002,-53.754000000000815,-3494.010000000053,LOSS,2020-03-17 13:10:00,2020-03-17 13:45:00
NIFTY,65,BUY,8360.55,8157.35,7855.864960000001,9117.577559999998,-203.1999999999989,-13207.999999999929,MACD EXIT,2020-03-19 11:10:00,2020-03-19 12:15:00
NIFTY,65,BUY,8357.1,8618.553000000002,8182.798,8618.553000000002,261.45300000000134,16994.445000000087,WIN,2020-03-20 10:10:00,2020-03-20 12:15:00
NIFTY,65,BUY,7829.85,7758.3,7702.947584,8020.203624000002,-71.55000000000018,-4650.750000000012,EMA EXIT,2020-03-23 12:50:00,2020-03-23 13:05:00
NIFTY,65,BUY,7777.15,7777.55,7747.244,7822.009,0.4000000000005457,26.00000000003547,EMA EXIT,2020-03-23 13:30:00,2020-03-23 13:35:00
NIFTY,65,BUY,7811.85,7670.65,7602.29228,8126.186580000001,-141.20000000000073,-9178.000000000047,EMA EXIT,2020-03-24 09:25:00,2020-03-24 09:45:00
NIFTY,65,BUY,7771.8,7871.45,7544.724670131353,8112.41299480297,99.64999999999964,6477.249999999976,MACD EXIT,2020-03-24 11:20:00,2020-03-24 13:55:00
NIFTY,65,BUY,7842.95,7777.55,7714.95,8034.95,-65.39999999999964,-4250.999999999976,EMA EXIT,2020-03-25 10:35:00,2020-03-25 10:50:00
NIFTY,65,BUY,7895.1,8116.1285064349595,7747.747662376694,8116.1285064349595,221.02850643495913,14366.852918272343,WIN,2020-03-25 11:30:00,2020-03-25 12:50:00
NIFTY,65,BUY,8487.5,8635.9,8307.627317376,8757.309023935999,148.39999999999964,9645.999999999976,MACD EXIT,2020-03-26 09:35:00,2020-03-26 10:50:00
NIFTY,65,BUY,8724.25,8714.6,8546.695173952,8990.582239072002,-9.649999999999636,-627.2499999999764,MACD EXIT,2020-03-26 12:10:00,2020-03-26 13:00:00
NIFTY,65,BUY,8722.15,8644.5,8496.19011712256,9061.08982431616,-77.64999999999964,-5047.249999999976,TIME EXIT,2020-03-26 14:50:00,2020-03-26 15:10:00
NIFTY,65,BUY,8982.35,8821.4,8623.90676,9520.014860000001,-160.95000000000073,-10461.750000000047,MACD EXIT,2020-03-27 09:25:00,2020-03-27 10:15:00
NIFTY,65,BUY,8464.55,8469.6,8282.02103557801,8738.343446632985,5.050000000001091,328.25000000007094,MACD EXIT,2020-03-31 09:50:00,2020-03-31 11:05:00
NIFTY,65,BUY,8539.55,8582.4,8377.411119093495,8782.758321359757,42.850000000000364,2785.2500000000236,MACD EXIT,2020-03-31 11:45:00,2020-03-31 13:00:00
NIFTY,65,BUY,8616.55,8622.9,8544.926732799999,8723.9849008,6.350000000000364,412.75000000002365,MACD EXIT,2020-03-31 14:05:00,2020-03-31 15:05:00
NIFTY,65,BUY,8251.8,8250.65,8212.708999999999,8310.4365,-1.1499999999996362,-74.74999999997635,TIME EXIT,2020-04-01 15:00:00,2020-04-01 15:10:00
NIFTY,65,BUY,8145.3,8112.97509357863,8112.97509357863,8193.787359632057,-32.32490642137054,-2101.1189173890853,LOSS,2020-04-03 12:20:00,2020-04-03 12:30:00
NIFTY,65,BUY,8141.4,8198.108999999999,8103.594,8198.108999999999,56.70899999999892,3686.08499999993,WIN,2020-04-03 13:15:00,2020-04-03 13:35:00
NIFTY,65,BUY,8197.15,8112.311901206119,8112.311901206119,8324.407148190821,-84.83809879388082,-5514.476421602253,LOSS,2020-04-03 13:40:00,2020-04-03 14:05:00
NIFTY,65,BUY,8370.0,8394.0,8106.574164191999,8765.138753712,24.0,1560.0,MACD EXIT,2020-04-07 09:25:00,2020-04-07 10:20:00
NIFTY,65,BUY,8597.25,8597.6,8544.674366346608,8676.113450480088,0.3500000000003638,22.750000000023647,MACD EXIT,2020-04-07 12:50:00,2020-04-07 12:55:00
NIFTY,65,BUY,8671.85,8717.85,8609.636486399999,8765.170270400002,46.0,2990.0,MACD EXIT,2020-04-07 13:50:00,2020-04-07 14:40:00
NIFTY,65,BUY,8950.55,8989.65,8675.351616000002,9363.347575999996,39.100000000000364,2541.5000000000236,MACD EXIT,2020-04-08 09:45:00,2020-04-08 10:55:00
NIFTY,65,BUY,8971.6,8989.15,8770.645544175246,9273.031683737132,17.549999999999272,1140.7499999999527,MACD EXIT,2020-04-09 09:25:00,2020-04-09 10:40:00
NIFTY,65,BUY,9033.4,9074.35,8917.373964800001,9207.439052799997,40.95000000000073,2661.7500000000473,MACD EXIT,2020-04-09 11:45:00,2020-04-09 13:35:00
